id,drug_name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2
293,axcer  90mg tablet,Tikacad 90 Tablet,Brigrel Tablet,Xygrel 90 Tablet,Ticastro 90 Tablet,Ticavic 90 Tablet,Bleeding,Breathlessness,
294,anaspas tablet,Dicloran Spas Tablet,NEOFORTAN D TABLET,Avapar Tablet,Spasmonorm Tablet,,Nausea,Vomiting,Heartburn
295,ascabiol emulsion,Gamanom Emulsion,Hexab Emulsion,,,,"Application site reactions (burning, irritation, itching and redness)",Dry skin,
296,addwize 10mg tablet,Meth OD 10mg Tablet,Inspiral 10mg Tablet,Ritazral Hynidate 10mg Tablet,Mdet 10mg Tablet,,Headache,Insomnia (difficulty in sleeping),Abdominal pain
297,ascoril plus expectorant,Megaril Expectorant,Pulmo Rest S Expectorant,Respidac TBG Expectorant,Pedicute-A Expectorant,Sudin-EX Expectorant,Nausea,Indigestion,Bloating
298,amlong 10 tablet,Aginal 10mg Tablet,Amodep 10mg Tablet,Lupidip 10mg Tablet,Amlokind 10mg Tablet,Amcard 10 Tablet,Headache,Fatigue,Nausea
299,abd plus tablet,Revzole Plus 6mg/400mg Tablet,Wellbend Plus 6mg/400mg Tablet,Cezole Plus 6mg/400mg Tablet,Al Won Plus 6mg/400mg Tablet,Wormtix 6mg/400mg Tablet,Nausea,Vomiting,Diarrhea
300,allercet-m tablet,Montina-L Tablet,Lecope-M Tablet,Monticope Tablet,Levocet M Tablet,Ronycold-M Tablet,Nausea,Diarrhea,Dryness in mouth
301,augpen -ds suspension,Moxclav BD DS 457mg Suspension,Zoxil CV 400mg/5ml/57mg/5ml Suspension,Rzcv Forte Suspension,Princiclav Suspension,Addclav Forte Suspension,Nausea,Vomiting,Abdominal pain
302,althrocin liquid,Erocyn 125mg Oral Suspension,,,,,Vomiting,Nausea,Abdominal pain
303,atocor 10 tablet,Atorast 10mg Tablet,Zivast 10 Tablet,Storvas 10 Tablet,Tonact 10 Tablet,Atorlip 10 Tablet,Dyspepsia,Abdominal pain,Indigestion
304,augpen 625 bid tablet,Penciclav 500 mg/125 mg Tablet,Moxikind-CV 625 Tablet,Moxiforce-CV 625 Tablet,Fightox 625 Tablet,Novamox CV 625mg Tablet,Vomiting,Nausea,Diarrhea
305,atchol-f tablet,Ozovas-F  Tablet,Orvas-FT Tablet,Lipikind-F Tablet,Zivast-F Tablet,Mactor F Tablet,Nausea,Stomach pain,Constipation
306,alensol-d tablet,Fosabest Tablet,Goldcal Alen 70mg/5600IU Tablet,Forjet Plus Tablet,Devbone D 70mg/5600IU Tablet,Indibon-D70 Tablet,Headache,"Musculoskeletal (bone, muscle or joint) pain",Back pain
307,arbitel-trio 25 tablet er,Teldawn LNB 10mg/25mg/40mg Tablet ER,Cardexa 10mg/25mg/40mg Tablet ER,Metolar Trio 25 Tablet ER,Telma LNB 10mg/25mg/40mg Tablet ER,Met XL Trio 25 Tablet,Nausea,Taste change,Constipation
308,acivir eye ointment,Zovirax Eye Ointment,Yavir Eye Ointment,Virinox Eye Ointment,Eyevir Eye Ointment,L Vir 3% Eye Ointment,Eye redness,Stinging sensation,
309,aceclo tablet,Topnac 100mg Tablet,Topflam 100mg Tablet,Acicloflex 100mg Tablet,Acenal 100mg Tablet,Safronac 100mg Tablet,Vomiting,Stomach pain/epigastric pain,Nausea
310,actrapid 100 iu/ml flexpen,Wosulin-R DispoPen,Lupisulin R 100IU/ml Cartridge,Insuman Rapid 100IU/ml Solution for Injection,Actrapid HM 100IU/ml Penfill,Actrapid 100IU/ml Solution for Injection,Hypoglycemia (low blood glucose level),Weight gain,Edema (swelling)
311,amitone 25mg tablet,Amidep 25mg Tablet,Amitril 25mg Tablet,Amitar 25mg Tablet,Trilin 25mg Tablet,Latilin 25mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing)
312,anafortan syrup,,,,,,Dryness in mouth,Constipation,Blurred vision
313,acera-d capsule sr,Pepcia-D Capsule SR,Rabega D 30mg/20mg Capsule SR,Rabekind-DSR Capsule,Rzole DSR Capsule,Rabezol DSR  Capsule,Diarrhea,Stomach pain,Dryness in mouth
314,aerodil sf expectorant,Asphyllin Expectorant,Tudex AM Expectorant,Zyrex Expectorant,Tusbex Expectorant,X Par A Expectorant,Excessive salivation,Fatigue,Paresthesia (tingling or pricking sensation)
315,aculip h 12.5 mg/5 mg tablet,Trixide-H Tablet,Emotrip 12.5 mg/5 mg Tablet,Aculip H 12.5mg/5mg Tablet,Trixide 12.5 mg/5 mg Tablet,Kimitrip 12.5mg/5mg Tablet,Constipation,Difficulty in urination,Weight gain
316,aztolet  20 tablet,Asitor C 20mg/75mg Tablet,Clopica AV 20mg/75mg Tablet,Clopigard CV 20mg/75mg Tablet,Genericart Atorvastatin+Clopidogrel 20mg/75mg Tablet,Levitor CV 20mg/75mg Tablet,Stomach pain,Diarrhea,Indigestion
317,amlopin 5 tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea
318,arimidex 1mg tablet,Aromita Tablet,Femistra Tablet,Anastronat 1mg Tablet,Anastronat 1mg Tablet,Femitraz Tablet,Hot flashes,Nausea,Osteoporosis
319,alzil-m 5 tablet,DavaIndia Donepezil+Memantine 5mg/5mg Tablet,Denjil-Plus Tablet,Depzil Plus 5mg/5mg Tablet,Larentine D 5mg/5mg Tablet,Talimem 5 Tablet,Nausea,Vomiting,Loss of appetite
320,acuvert tablet,Protil 5mg Tablet,Vestil 5mg Tablet,Nurotil 5mg Tablet,Nausetil 5mg Tablet,Navtil 5mg Tablet,Drowsiness,Orthostatic hypotension (sudden lowering of blood pressure on standing),
321,alciflox 500mg tablet,Wocipflo 500mg Tablet,Strox 500mg Tablet,Ciprodac 500 Tablet,Cifran OD 500mg Tablet,Ciprowin 500mg Tablet,Headache,Dizziness,Gastrointestinal disorder
322,azax 250 tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Zerox 250 Tablet,Vomiting,Nausea,Abdominal pain
323,aceclo spas tablet,Spastone-RM Tablet,Albiflam D 80mg/100mg Tablet,Ricnac DV 80mg/100mg Tablet,Fenalin D 80mg/100mg Tablet,Derot A 80mg/100mg Tablet,Diarrhea,Nausea,Vomiting
324,asthakind-ls drop,,,,,,Nausea,Vomiting,Diarrhea
325,ascabiol emulsion,Gamanom Emulsion,Hexab Emulsion,,,,"Application site reactions (burning, irritation, itching and redness)",Dry skin,
326,alphadol 0.25mcg capsule,Vitalpha Soft Gelatin Capsule,Alphadol-C Soft Gelatin Capsule,,,,Rash,Itching,Abdominal pain
327,alex cough lozenges sugar free,CHERICOF 5MG LOZENGES,Tossex D 5mg Lozenges,,,,Sleepiness,Dizziness,Confusion
328,arip mt 10 tablet,Apiz 10mg Tablet,Aripiren 10mg Tablet,Ripramat 10 Tablet,Rizotal 10mg Tablet,Ariday 10 Tablet,Akathisia (inability to stay still),Anxiety,Blurred vision
329,anabel liquid gel,Ulsore Gel,Ulcerfree Gel,Mugel Freshora Gel,Orogard SG Gel,Mosiba Gel,No common side effects seen,,
330,aricep 5 tablet,DavaIndia Donepezil 5mg Tablet,Demenza 5mg Tablet,Dnp 5mg Tablet,Gigapezil 5mg Tablet,Depzil 5mg Tablet,Nausea,Diarrhea,Insomnia (difficulty in sleeping)
331,amlosafe-at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling
332,aceclo sr tablet,Algic 200mg Tablet SR,Topnac 200mg Tablet SR,Kindac 200mg Tablet SR,Ultranac 200mg Tablet SR,Bignac 200mg Tablet SR,Dizziness,Indigestion,Nausea
333,azopt opthalmic suspension,Brinzemic Eye Drop,Bridic 1% Eye Drop,Brinzodoc 1% Eye Drop,,,Blurred vision,Bitter taste,
334,amitop 10 tablet,Triptop 10mg Tablet,Relidep 10mg Tablet,Amitone 10mg Tablet,Tryp 10mg Tablet,Amitril 10mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing)
335,ambulax m tablet,Anzal Plus -H 0.25mg/10mg Tablet,Azox P 0.25mg/10mg Tablet,Tensyn AZ M 0.25 mg/10 mg Tablet,Biozolam Plus 0.25 mg/10 mg Tablet,Zepro 0.25mg/10mg Tablet,Confusion,Drowsiness,Memory impairment
336,alcipro 500mg tablet,Wocipflo 500mg Tablet,Strox 500mg Tablet,Ciprodac 500 Tablet,Alciflox 500mg Tablet,Cifran OD 500mg Tablet,Headache,Dizziness,Gastrointestinal disorder
337,assurans tablet,Sildaflow 20mg Tablet,Pulmoday 20mg Tablet,PAH 20 Tablet,Esylnafil 20mg Tablet,Penegra Pah Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Stiffness
338,augpen lb 625 tablet,Nishclav 625 LB Tablet,Rzcv LB 500mg/125mg Tablet,Nexclav LB 500mg/125mg Tablet,Moxcid-LB 625 Tablet,Moxylik CV 500mg/125mg Tablet,Nausea,Diarrhea,Vomiting
339,alkaliser syrup,Alkapen Syrup,Alkatrol Syrup,Uriflame Syrup,Acitrol Syrup,Intalka Syrup,Stomach pain,Tiredness,Diarrhea
340,aquaviron 40mg capsule,Testoki 40mg Capsule,Nuvir 40mg Capsule,Andriol 40mg Capsule,Testonova 40mg Capsule,Androsar 40mg Capsule,Diarrhea,Stomach discomfort,Increased sweating
341,angiwell 2.6mg tablet,Glyin 2.6mg Tablet,Corcont 2.6mg Tablet,Nitrobid 2.6mg Tablet,Iskem GTN 2.6mg Tablet,Nitrospan 2.6mg Tablet,Blurred vision,Decreased blood pressure,Dizziness
342,anaflam th  4  tablet,Thioford AP Tablet,Bakwel-AP Tablet,Fense TH Tablet,Thio-Seradic Tablet,Triactin 4 Tablet,Nausea,Vomiting,Heartburn
343,alzil 5 tablet,DavaIndia Donepezil 5mg Tablet,Demenza 5mg Tablet,Dnp 5mg Tablet,Gigapezil 5mg Tablet,Depzil 5mg Tablet,Nausea,Diarrhea,Insomnia (difficulty in sleeping)
344,amlo 5mg tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea
345,asthalin plus expectorant,Bronkolyte Levo PD Syrup,Nakuf LS Syrup,Cleartuss LS Syrup,Chericof-LS Junior Syrup,Ventiphylline LS Junior Syrup,Nausea,Vomiting,Diarrhea
346,ascabiol emulsion,Gamanom Emulsion,Hexab Emulsion,,,,"Application site reactions (burning, irritation, itching and redness)",Dry skin,
347,amitone plus tablet,Trixide-H Tablet,Emotrip 12.5 mg/5 mg Tablet,Aculip H 12.5mg/5mg Tablet,Trixide 12.5 mg/5 mg Tablet,Kimitrip 12.5mg/5mg Tablet,Constipation,Difficulty in urination,Weight gain
348,akt 2 tablet,Rizide 450 mg/300 mg Tablet,Rifact Kid 450mg/300mg Tablet,Wokex 450mg/300mg Tablet,Coxwin ZH 450 mg/300 mg Tablet,Rifanex 450mg/300mg Tablet,Dark colored urine,Rash,Vomiting
349,alex plus paediatric oral drops,Monkuff Oral Drops,Coldsoft Oral Drops,Zukamin Oral Drops,Coldest Oral Drops,Avnac Oral Drops,Vomiting,Headache,Restlessness
350,antacid tablet,Riogel S Tablet,,,,,Constipation,Diarrhea,
351,apresol tablet,Aprilife 25mg Tablet,Nepresol 25mg Tablet,,,,Diarrhea,Headache,Increased heart rate
352,atchol 40 tablet,Atorless 40mg Tablet,Lipikind 40 Tablet,Mactor 40 Tablet,Atorsave 40 Tablet,Atorvee 40mg Tablet,Dyspepsia,Abdominal pain,Indigestion
353,amlong-h tablet,Amoline H 5mg/12.5mg Tablet,Amvio H 5 mg/12.5 mg Tablet,L Core 5 mg/12.5 mg Tablet,Amlokind-H Tablet,AMLOCAD-H 5MG/12.5MG TABLET,Glucose intolerance,Sleepiness,Ankle swelling
354,airz-ff capsule,,,,,,Runny nose,Sore throat,Upper respiratory tract infection
355,arflur 3d tablet,Octace Plus Tablet,Anzifen SP Tablet,Mitigate SP Tablet,Petace S 100mg/500mg/15mg Tablet,Kace S 100mg/500mg/15mg Tablet,Nausea,Vomiting,Stomach pain
356,azmarda 200mg tablet,Sacutan 200 Tablet,Sacumada 200 Tablet,Arnicor 200 Tablet,Sacurise 200 Tablet,Arney 200 Tablet,Dizziness,Increased potassium level in blood,Fatigue
357,amixide 10mg tablet,Trixide 25 mg/10 mg Tablet,Trixide-H 25mg/10mg Tablet,Mytrip Plus Tablet,Amize Forte 25 mg/10 mg Tablet,Amitone Forte 25 mg/10 mg Tablet,Constipation,Difficulty in urination,Weight gain
358,avomine 25mg tablet md,Mexiphen -MD Tablet,,,,,Unusual production of breast milk in women and men,,
359,arpizol 2mg tablet,Asprito 2 Tablet,Aripaso 2mg Tablet,Arip MT 2 Tablet,Apz 2mg Tablet,,Akathisia (inability to stay still),Anxiety,Blurred vision
360,ascodex cough syrup,Vistadex Syrup,Aldrex Syrup,Imcuf DMR Syrup,Oldex Syrup,Ascodex DX Syrup,Nausea,Indigestion,Bloating
361,aerocort forte rotacap,,,,,,Hoarseness of voice,Headache,Dizziness
362,af 200 tablet,Falcon 200mg Tablet,Flow 200mg Tablet,Eselcon 200mg Tablet,Fole 200mg Tablet,Nixican 200 Tablet,Headache,Nausea,Stomach pain
363,aquasurge  eye drop,Wat-R Eye Drop,Just Tears Eye Drop,Takfresh Eye Drop,Misty Eye Drop,Relub Eye Drop,Eye irritation,Burning eyes,Eye discomfort
364,atorva asp 75 capsule,Liponorm-Asp Capsule,Zivast ASP 10 Capsule,Atchol-ASP Capsule,Lipicure-AS 75 Capsule,Atorlip-ASP 10 Capsule,Abdominal pain,Constipation,Flatulence
365,azivent 500 tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain
366,azithral eye ointment,Ayzeecon Eye Ointment,Azqure 1% Eye Ointment,Himycin Eye Ointment,Azocin 1% Eye Ointment,Estocin Eye Ointment,Burning eyes,Vomiting,Nausea
367,adtrol xt tablet,Lumiacal-XT Tablet,Lumiacal-XT Tablet,,,,Dryness in mouth,Nausea,Constipation
368,aqualube eye drop,Wat-R Eye Drop,Just Tears Eye Drop,Takfresh Eye Drop,Misty Eye Drop,Relub Eye Drop,Eye irritation,Burning eyes,Eye discomfort
369,antisnake venom injection,Snake Antivenin Injection,V Asv Injection,Snake Venom Antiserum Injection,,,Headache,Nausea,Vomiting
370,acrotac 25mg capsule,Bdace 25mg Capsule,Sentrane 25mg Capsule,Glacitret 25mg Capsule,Acitrin 25mg Capsule,Acitkon 25mg Capsule,Dryness in mouth,Skin peeling,Itching
371,azathioprine 50mg tablet,Transimune 50mg Tablet,Azap 50 Tablet,Zesoris-AZ 50mg Tablet,Autorin 50mg Tablet,Azawan Tablet,Decreased white blood cell count,Increased bleeding tendency,Nausea
372,amrolstar nail lacquer,AM Laqer Nail Lacquer,Amrolmac Nail Lacquer,Fungicros Nail Lacquer,Loceryl Nail Lacquer,,Blisters on skin,Nail disorder,Skin irritation
373,allercet-m syrup,Montina-L Syrup,1-AL M Syrup,Montemac-L Syrup,Lasma LC kid Syrup,Romilast L Syrup,Rash,Nausea,Diarrhea
374,atchol 10 tablet,Atorast 10mg Tablet,Zivast 10 Tablet,Storvas 10 Tablet,Tonact 10 Tablet,Atorlip 10 Tablet,Dyspepsia,Abdominal pain,Indigestion
375,alphagan z ophthalmic solution,Brimopress-LS Eye Drops,Cibrim Z Eye Drops,,,,Blurred vision,Drowsiness,Headache
376,acutret 10 capsule,Trato 10mg Soft Gelatin Capsule,Isoden 10mg Soft Gelatin Capsule,Adclin 10mg Soft Gelatin Capsule,Isoway 10 Soft Gelatin Capsule,Mavtron 10mg Soft Gelatin Capsule,Dry skin,Increased liver enzymes,Rash
377,acnedap gel,Acnesone Gel,Acnewar Gel,Pustulex Gel,,,Oily skin,Skin peeling,Dry skin
378,amoxycillin 125mg oral suspension,SYMOXYL ORAL SUSPENSION,Zymox Premix 125mg Oral Suspension,Moxvid Dry Syrup,Opimox Dry Syrup,Novamox Oral Suspension,Allergy,Rash,Vomiting
379,advanced lcf kid expectorant,T Kuff Syrup,Kofide Syrup,C C Gesic Plus Syrup,Wifi-S Syrup Sugar Free,Respicure Syrup,Nausea,Diarrhea,Vomiting
380,amitryn 10 tablet,Relidep 10mg Tablet,Amitone 10mg Tablet,Tryp 10mg Tablet,Amitril 10mg Tablet,Odep 10mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing)
381,amtas-at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling
382,accentrix solution for injection,,,,,,Conjunctival hemorrhage,Eye pain,Eye floaters
383,arpizol 10 tablet,Aripiren 10mg Tablet,Ripramat 10 Tablet,Rizotal 10mg Tablet,Arip MT 10 Tablet,Ariday 10 Tablet,Akathisia (inability to stay still),Anxiety,Blurred vision
384,alkasol oral solution,Uridol Oral Solution,,,,,Stomach pain,Tiredness,Diarrhea
385,aldactone 100 tablet,Lactone 100mg Tablet,SPILACTONE 100 MG TABLET,Silectone 100 Tablet,Edeflow 100 Tablet,Cglactone 100mg Tablet,Nausea,Vomiting,Leg cramps
386,aztogold 20 capsule,Avas Gold 75mg/20mg/75mg Capsule,Lipitab Gold 20 Capsule,Atorfit CV Gold 20 Capsule,Lipikind-Plus 20 Capsule,Atorva Gold 20 Capsule,Increased bleeding tendency,Abdominal pain,Indigestion
387,addna tablet,Acusalt 1gm Tablet,,,,,Nausea,Vomiting,Stomach pain
388,amtas-m 50 tablet pr,Gudpres-AM 50 Tablet PR,Protol-AM Tablet PR,Amlodac M Tablet PR,Amlopin-M Tablet PR,Amlovas XM  5/50 Tablet PR,Nausea,Slow heart rate,Abdominal pain
389,akilos-p tablet,Xtra P 100 mg/500 mg Tablet,Jetace 100 mg/500 mg Tablet,Acebloc P 100 mg/500 mg Tablet,Icobit P 100 mg/500 mg Tablet,Aclomp P 100 mg/500 mg Tablet,Nausea,Vomiting,Stomach pain/epigastric pain
390,avas cv 10 capsule,Lipikind CV 10mg/75mg Capsule,Starclop-AV 10 Capsule,Atchol CV Capsule,Astin CV 10 Capsule,Lipitab CV 10mg/75mg Capsule,Stomach pain,Diarrhea,Indigestion
391,actilyse 50mg injection,,,,,,Bleeding,Nausea,Vomiting
392,acceclowoc-sp tablet,Asozen SR Plus 100mg/325mg/10mg Tablet,Accept-SP Tablet,Combifenac SP 100mg/325mg/10mg Tablet,Aceloflam SP Tablet,Parofen-S Tablet,Nausea,Vomiting,Stomach pain
393,amodep at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling
394,amlopres at 25 tablet,Betacard-AM 5mg/25mg Tablet,DavaIndia Amlodipine+Atenolol 5mg/25mg Tablet,Numlo-AT 5mg/25mg Tablet,Amlokos AT 5mg/25mg Tablet,Dipinol 5 mg/25 mg Tablet,Sleepiness,Headache,Ankle swelling
395,acular ls ophthalmic solution,Ketsenz Eye Drop,Ketorocin-LS Eye Drop,Ketsenz LS Eye Drop,,,Burning sensation,Stinging sensation,
396,anxipan capsule,,,,,,Nausea,Diarrhea,Constipation
397,advent 91.4mg drops tangy orange,Slox Oral Drops,Doloxy CV Oral Drops,Clavmox Oral Drops,Garclav Oral Drops,Senclav Oral Drops,Nausea,Vomiting,Abdominal pain
398,azee xl 200mg dry syrup peppermint,Azitru 200mg/5ml Dry Syrup,Zithromin 200mg Dry Syrup,Azenas 200mg/5ml Dry Syrup,Aziclub 200mg Dry Syrup,Azithron 200mg Dry Syrup,Vomiting,Nausea,Abdominal pain
399,abevia 100 capsule,Broncocet ACB Capsule,Broncofil 100mg Capsule,Bronet 100mg Capsule,Axeldox 100 Capsule,Ambrodil-XP Capsule,Nausea,Headache,Vomiting
400,alex oral drops orange,Tricold Oral Drops,Cinaryl-AF Oral Drops,Alerfri AF Oral Drops,Entimin Oral Drops,Joecold Oral Drops,Vomiting,Headache,Restlessness
401,amoxyclav ds syrup,Cynoclav DS Syrup,Satclav DS Syrup,Amoclave  DS  Syrup,Semox CV Forte Syrup,Moxifide Duo Syrup,Nausea,Vomiting,Abdominal pain
402,alcoliv tablet,METBAX TABLET,Alcofast 500mg Tablet,Livodox 500mg Tablet,Metadoxil 500mg Tablet,Aeroliv M 500mg Tablet,Nausea,Upset stomach,Diarrhea
403,anosum cream,Sucross Ano Cream,Elfate-LM Rectal Cream,Pileclear S Cream,Surect Cream,Softee Cream,Burning sensation,Tingling,Rash
404,amlovas-m 5/50 tablet pr,Metoder XL-AM Tablet PR,Gudpres-AM 50 Tablet PR,Amlodac M Tablet PR,Amlopin-M Tablet PR,Amlovas XM  5/50 Tablet PR,Nausea,Slow heart rate,Abdominal pain
405,alkamax mb alkamax mb6 oral solution,Urocitra-M B6 Oral Solution Sugar Free Lemon,Lizerton B6 Oral Solution Orange Sugar Free,K Mac B6  Oral Solution,Noculi B6 Oral Solution,Potron MB6 Oral Solution Delicious Pineapple Sugar Free,Diarrhea,Nausea,Vomiting
406,amlosafe tm 40 tablet,Telmikind-AM Tablet,Tytan-AM Tablet,Amlopres TL Tablet,Telvas-AM Tablet,Telmital-A Tablet,Sleepiness,Ankle swelling,Headache
407,apetamin syrup,Add App 2mg/5ml Syrup,Toractin 2mg/5ml Syrup,Apetiz Syrup,Apeton 2mg/5ml Syrup,Cipron Syrup,Dizziness,Headache,
408,aceflam p 100mg/325mg tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain
409,ascovent -sr tablet,Venphylin-SR Tablet,Uliphyalline 200 SR Tablet,Asmasafe 200mg Tablet SR,Acethama 200 SR Tablet,Abiways 200 SR Tablet,Nausea,Headache,Vomiting
410,acotrust  tablet,Acosat 100mg Tablet,Actapro Tablet,Dycotiam Tablet,Tocamide Tablet,Actapro Tablet,Headache,Diarrhea,
411,acupat ophthalmic solution,Lopine-K Eye Drop,Histpat-KT Eye Drop,Oloris-KT Eye Drop,Eylac-O Eye Drop,Oloket Ophthalmic Solution,Burning eyes,Stinging in the eyes,Dry eye
412,arcolane 2% scalp solution,Nuket Solution,Ketosa Solution,Ketonol Scalp Solution,Konaz Solution,Ketovate Solution,Skin peeling,"Application site reactions (burning, irritation, itching and redness)",Nausea
413,atropine 1% eye drop,Ataron Eye Drop,Atromet Eye Drop,Atrosun Eye Drop,Atrop Eye Drop,Opthopin 1% Eye Drop,Stinging sensation,High blood pressure,
414,amyclox-lb capsule,Lax LB 250mg/250mg Capsule,Keeclox L Capsule,Wasoclox 250mg/250mg Capsule,Siclomox 250mg/250mg/60Million spores Capsule,Zonemox CL Capsule,Rash,Vomiting,Allergic reaction
415,alamin injection,Micabal Injection,Cycobal Injection,Cobanuron Injection,Fotia Plus Injection,Neuri Forte Injection,Decreased appetite,Diarrhea,Nausea
416,aquim pf eye drop,HYVISC FORTE  EYE DROPS,Hyloaid Eye Drop,Ultra-Moist Eye Drop,Hyane Eye Drop,Soha Liquigel,Limited data available,,
417,arbitel-am tablet,Telmikind-AM Tablet,Tytan-AM Tablet,Amlopres TL Tablet,Telvas-AM Tablet,Telmital-A Tablet,Sleepiness,Ankle swelling,Headache
418,aprecap 125/80 capsule,Apritech 125/80 Capsule,Emvoid 125 mg/80 mg Capsule,Apry 125mg/80mg Capsule,Empov 125mg/80mg Capsule,Apricyt Kit,Constipation,Indigestion,Headache
419,ab phylline syrup,A-Phyl 10mg/ml Syrup,,,,,Nausea,Headache,Vomiting
420,azeflo ft nasal spray,Fivasa AZ 27.5 mcg/140 mcg Nasal Spray,Cazomist-AZ Nasal Spray,Ffns-AZ Nasal Spray,Furaze Nasal Spray,Austril AZ Nasal Spray,Taste change,Nosebleeds,Headache
421,atorva f tablet,Ozovas-F  Tablet,Orvas-FT Tablet,Lipikind-F Tablet,Zivast-F Tablet,Atchol-F Tablet,Nausea,Stomach pain,Constipation
422,amicline plus tablet,,,,,,Nausea,Loss of appetite,Flatulence
423,acimol mr 100mg/325mg/250mg tablet,Kapinac CZ Tablet,Zoceclo MR 100mg/325mg/250mg Tablet,Clanac MR Tablet,Acelyn MR 100mg/325mg/250mg Tablet,Lyfenac-MR Tablet,Nausea,Vomiting,Heartburn
424,abiways tablet,Oxydex Tablet,Amucoe Nac Tablet,Aphyren-N Tablet,Asmasafe-N Tablet,Effenac AB Tablet,Vomiting,Heartburn,Stomach pain
425,asthakind tablet,Terpect 100 mg/2.5 mg/4 mg Tablet,Terpect Tablet,Ventus Tablet,,,Nausea,Diarrhea,Bloating
426,aprezo 10 tablet,Apxenta 10 Tablet,Apxenta 10 Tablet,Apraize 10 Tablet,,,Diarrhea,Nausea,Vomiting
427,air 120 tablet,Lcfex Tablet,Etofex 120mg Tablet,Nexofex 120mg Tablet,Histafree 120 Tablet,Fexofen 120 Tablet,Headache,Drowsiness,Dizziness
428,amoxycillin  250mg capsule,Amoxipen 250mg Capsule,Hipen A 250mg Capsule,Moxipal 250mg Capsule,Amoxil 250mg Capsule,Moxikem 250mg Capsule,Rash,Vomiting,Allergic reaction
429,acenac sp 100mg/325mg/15mg tablet,Vetory SP Tablet,Ibugesic ASP Tablet,Acemiz-S Tablet,Dolokind AA Tablet,Anaflam Xps  Tablet,Nausea,Vomiting,Stomach pain
430,aginal-at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling
431,allrite dc tablet er,,,,,,Headache,Dryness in mouth,Nausea
432,asthalin 2 tablet,Salmaplon 2mg Tablet,Salbid 2mg Tablet,Salbetol 2 Tablet,Asthacip 2mg Tablet,Brethmol 2mg Tablet,Tremors,Headache,Palpitations
433,arip mt 2 tablet,Asprito 2 Tablet,Aripaso 2mg Tablet,Apz 2mg Tablet,Arpizol 2mg Tablet,,Akathisia (inability to stay still),Anxiety,Blurred vision
434,alcet 5mg tablet,L Dio 1 Tablet,LCZ Tablet,Lecope Tablet,1-AL Tablet,L Hist Tablet,Sleepiness,Fatigue,Dryness in mouth
435,aplazar tablet,Nefrogard Tablet,Ketorite 200mg Tablet,Ketalog 200mg Tablet,Alfaren 200mg Tablet,Septasteril Tablet,Increased calcium level in blood,,
436,amicon 10 tablet,Triptop 10mg Tablet,Relidep 10mg Tablet,Amitone 10mg Tablet,Tryp 10mg Tablet,Amitril 10mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing)
437,amaryl m forte 1mg tablet pr,Glimiprex MF Forte 1 Tablet PR,Duopil 1 Forte Tablet PR,Walaphage G 1 Forte Tablet PR,Glimestar-M1 Forte Tablet PR,Glyciphage-G 1 Forte Tablet PR,Hypoglycemia (low blood glucose level),Headache,Nausea
438,amicline tablet,Mobitide 500mg Tablet,,,,,Nausea,Vomiting,Itching
439,acivir iv injection,,,,,,Vomiting,Nausea,Injection site reaction
440,atm 200 oral suspension,Spazit Suspension,Aziitech 200mg Oral Suspension,Azee 200mg Dry Syrup,Azmo 200mg Oral Suspension,Zoran Suspension,Vomiting,Nausea,Abdominal pain
441,apidra solostar 100iu/ml injection,,,,,,Hypoglycemia (low blood glucose level),Nasopharyngitis (inflammation of the throat and nasal passages),Upper respiratory tract infection
